384 Seventh Avenue	Brooklyn	NY
Five Metrotech Center	Brooklyn	NY
180 Remsen Street	Brooklyn	NY
9715 third avenue	Brooklyn	NY
116 Havemeyer St.	Brooklyn	NY
401 Lewis Ave	Brooklyn	NY
305 Flatbush Ave	Brooklyn	NY
326 6th street	Brooklyn	NY
248 DeKalb Avenue	Brooklyn	NY
225 4th Ave	Brooklyn	NY
97 Fifth Ave	Brooklyn	NY
335 Flatbush Ave	Brooklyn	NY
1014 Fulton St.	Brooklyn	NY
837 Union Street	Brooklyn	NY
183 Sterling Pl	Brooklyn	NY
351 Graham Avenue	Brooklyn	NY
305 Bedford Avenue	Brooklyn	NY
195 Franklin Street	Brooklyn	NY
49 Bogart St	Brooklyn	NY
245 Grand Street	Brooklyn	NY
229 S 4th Street	Brooklyn	NY
14-01 Astoria Boulevard	Long Island City	NY
40-20 Broadway	Long Island City	NY
89-11 Merrick Boulevard	Jamaica	NY
38-23 104 Street	Corona	NY
25-01 Jackson Avenue	Long Island City	NY
95-06 Astoria Boulevard	East Elmhurst	NY
35-51 81 Street	Jackson Heights	NY
100-01 Northern Boulevard	Corona	NY
21-45 31 Street	Long Island City	NY
54-22 Skillman Avenue	Woodside	NY
7805 164 Street	Queens	NY
40-15 Bell Blvd.	Bayside	NY
72-07 Austin Street	Forest Hills	NY
2405 Jackson Ave	Long Island City	NY
1063 Jackson Avenue	Long Island City	NY
4702 Vernon Blvd	Long Island City	NY
3290 36th St	Astoria	NY
7160 Yellowstone Blvd	Forest Hills	NY
103-16 Roosevelt Ave	Corona	NY
35-02 48th Ave	Long Island City	NY
56 Giffords Lane	Staten Island	NY
309 New Dorp Lane	Staten Island	NY
75 Bennett Street	Staten Island	NY
976 Castleton Avenue	Staten Island	NY
1617 Richmond Road	Staten Island	NY
2550 Victory Boulevard	Staten Island	NY
1188 6th Avenue	New York	NY
1560 Broadway	New York	NY
14 East 47th Street	New York	NY
West 46th St & 12th Avenue Pier 86	New York	NY
735 9th Ave	New York	NY
1651 Broadway	New York	NY
824 3rd Avenue	New York	NY
946 8th Avenue	New York	NY
47 West 57th Street	New York	NY
966 3rd Avenue	New York	NY
2049 Broadway	New York	NY
1286 1st Avenue	New York	NY
1499 3rd Ave	New York	NY
638 Columbus Ave	New York	NY
1871 2nd Avenue	New York	NY
2549 Broadway	New York	NY
1872 3rd Ave	New York	NY
125th St & Lexington Ave	New York	NY
215 West 125th Street	New York	NY
354 W 125th St	New York	NY
600 West 125th St	New York	NY
444 Lenox Avenue	New York	NY
52 Fulton Street	New York	NY
2379 Adam Clayton Powell Jr Blvd	New York	NY
3549 Broadway	New York	NY
3410 Broadway	New York	NY
2142 3rd Ave	New York	NY
2271 Broadway	New York	NY
4259 Broadway	New York	NY
839 Westchester Avenue	New York	NY
208 Dyckman St	New York	NY
608 West 207th Street	New York	NY
42 Central Park South	New York	NY
42 Central Park South	New York	NY
255 West 57th Street	New York	NY
329 West 49th Street	New York	NY
125 East 50th Street	New York	NY
7 W 34th Street	New York	NY
80 Center St.	New York	NY
60 Center St.	New York	NY
107 University Place	New York	NY
10 Rockefeller Plaza	New York	NY
50 East 52nd Street	New York	NY
810 7th Avenue	New York	NY
1790 Broadway	New York	NY
900 3rd Avenue	New York	NY
173 West 48th Street	New York	NY
300 West 48th Street	New York	NY
2 West 46th Street	New York	NY
1 West 45th Street	New York	NY
74 West 45th Street	New York	NY
707 8th Ave	New York	NY
2 West 43 Street	New York	NY
650 3rd Avenue	New York	NY
201 East 39th Street	New York	NY
55 3rd Avenue	New York	NY
96th & 3rd Aveneue	New York	NY
475 Riverside Drive	New York	NY
123 William Street	New York	NY
301 West 110th Street	New York	NY
325 Broadway	New York	NY
719 7th Ave.	New York	NY
307 W Broadway	New York	NY
